proximity,up,down,left,right
183,37,32,26,53
183,60,101,91,40
183,52,88,89,41
16,56,57,34,53
12,63,222,42,0
13,63,222,42,0
221,45,44,38,67
221,80,78,72,100
221,156,162,170,150
15,17,17,3,16
15,63,222,42,0
133,32,29,27,59
133,109,99,104,150
133,132,176,185,85
133,215,236,255,166
16,5,5,1,7
14,63,222,42,0
14,63,222,42,0
64,19,19,19,52
64,255,255,255,219
64,40,82,76,28
19,255,255,255,255
17,63,222,42,0
15,63,222,42,0
61,19,20,17,48
61,255,255,255,255
61,95,146,154,64
14,39,40,23,41
12,63,222,42,0
13,63,222,42,0
13,63,222,42,0
12,63,222,42,0
13,63,222,42,0
13,63,222,42,0
12,63,222,42,0
15,63,222,42,0
13,63,222,42,0
14,63,222,42,0
16,63,222,42,0
13,63,222,42,0
